"Hull","Name","Name (Hull)","Ship Alt Title","Ship Type","Class","UIC","Status","Fleet","Date Status Last Changed","Homeport","Maintenance Category","Berth","Force","Builder","Award Date","Commission Date","Keel Date","Inactivation Date","Launch Date","Decommission Date","Delivery Date","InService Date","Out Service Date","Stricken Date","Overall Length","Waterline Length","Extreme Beam","Waterline Beam","Max Navigational Draft","Draft Limit","Light Displacement","Full Displacement","Dead Weight","Hull Material","No. of Propellers","No. of Waterjets","Propulsion Type","Accommodations Officers","Accommodations Enlisted","Custodian","Planning Yard","Nuclear Planning Yard","Ships Program Manager","Comments","Last Updated"
"LSD 32","SPIEGEL GROVE","SPIEGEL GROVE (LSD 32)","","DOCK LANDING SHIP","LSD 28","03132","Disposed of by Navy title transfer to the Maritime Administration","","02/04/1994","","","","","Ingalls Shipbuilding Corp.","03/18/1954","06/08/1956","09/07/1954","","11/10/1955","10/02/1989","06/08/1956","","","12/13/1989","510 ft","500 ft","84 ft","82 ft","19 ft","","","","","Steel hull, steel superstructure.","","","Steam Turbine","","","","","","","MARAD TITLE TRANSFERRED SPIEGEL GROVE TO THE STATE OF FLORIDA FISH & WILDLIFE CONSERVATION COMMISSION, LARGO, FL ON 6/13/2001. ON 5/17/2002, THE SHIP WAS SUNK PREMATURELY ENDING UP UPSIDE DOWN ON THE SEA BOTTOM LEAVING HER BOW PROTRUDING SLIGHTLY OUT OF THE OCEAN. EVENTUALLY, SHE WAS SENT TO HER WATERY GRAVE LAYING ON HER STARBOARD SIDE. SHE LAYS SIX MILES OFF THE FLORIDA KEYS IN THE FLORIDA KEYS NATIONAL MARINE SANCTUARY. 7/12/05 STORM FLIPPED HER UPRIGHT.","06/21/2002"
"AG 191","SPOKANE","SPOKANE (AG 191)","(ex - CLAA 120)","OFFSHORE PETROLEUM DISTRIBUTION SHIP","","03620","Disposed of, by Navy Sale","","05/01/1973","","","","","","","","","","","","","","","04/15/1972","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/16/2016"
"SS 413","SPOT","SPOT (SS 413)","","SUBMARINE","SS 381","05513","Disposed of through the Security Assistance Program (SAP), Foreign Military Sale or Lease","","08/01/1975","","","","","Naval Shipyard Mare Island","07/09/1942","08/03/1944","08/24/1943","","05/19/1944","","08/03/1944","","","08/01/1975","312 ft","","","","","","1525 tons","","","Steel hull, steel superstructure.","2","","Diesel Electric","","","CHILE","","","","","07/14/2005"
"MSF 384","SPRIG","SPRIG (MSF 384)","(ex - AM 384)","MINESWEEPER, FLEET STEEL HULLED","MSF 100","07884","Disposed of, by Navy Sale","","12/01/1973","","","","","","","","","","","","","","","07/01/1972","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","01/02/2002"
"CG 7","SPRINGFIELD","SPRINGFIELD (CG 7)","(ex - CLG 7)","GUIDED MISSILE CRUISER","CG 6","03566","Disposed of, by Navy Sale","","03/01/1980","","","","","Bethlehem Steel Co., SB Div, Quincy Yard, Quincy, MA","","09/09/1944","02/13/1943","","03/09/1944","","","","","07/31/1978","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","12/28/2001"
"SSN 761","SPRINGFIELD","USS SPRINGFIELD (SSN 761)","","SUBMARINE (NUCLEAR-POWERED)","SSN 688","21691","Active, in commission","U.S. PACIFIC FLEET","01/09/1993","AGANA, GUAM","","","Battle Force","General Dynamics Electric Boat","03/21/1986","01/09/1993","01/29/1990","","01/04/1992","","12/08/1992","","","","362 ft","","33 ft","","31 ft","","6000 tons","6927 tons","927 tons","Steel hull, steel superstructure.","1","","Steam Turbine (Nuclear)","12","98","US NAVY","Huntington Ingalls Industries - Newport News Shipbuilding","General Dynamics Electric Boat","PMS 392","","03/01/2022"
"DD 963","SPRUANCE","SPRUANCE (DD 963)","","DESTROYER","DD 963","20574","Disposed of in support of Fleet training exercise","","12/06/2006","","","","","Ingalls Shipbuilding Corp.","06/23/1970","09/20/1975","11/27/1972","","11/10/1973","03/18/2005","08/12/1975","","","03/18/2005","563 ft","529 ft","55 ft","55 ft","32 ft","23 ft","6649 tons","9036 tons","2387 tons","Steel hull, aluminum superstructure.","2","","Gas Turbines","35","318","","","","","","11/05/2007"
"DDG 111","SPRUANCE","USS SPRUANCE (DDG 111)","","GUIDED MISSILE DESTROYER","DDG 51","55687","Active, in commission","U.S. PACIFIC FLEET","09/01/2011","SAN DIEGO, CA","","","Battle Force","Bath Iron Works Corp.","09/13/2002","09/01/2011","05/14/2009","","06/06/2010","","04/15/2011","","","","510 ft","471 ft","66 ft","59 ft","32 ft","22 ft","7134 tons","9515 tons","2381 tons","Steel hull, steel superstructure.","2","","Gas Turbines","30","282","US NAVY","General Dynamics Bath Iron Works","","PMS 407","","08/26/2021"
"PC 7","SQUALL","SQUALL (PC 7)","","PATROL COASTAL","PC 1","21928","Disposed of through Foreign Military Transfer (Sale)","","03/14/2022","","","","","Bollinger Machine Shop & Shipyard","08/03/1990","07/04/1994","02/17/1993","","08/28/1993","03/14/2022","05/09/1994","","","03/14/2022","179 ft","158 ft","25 ft","25 ft","9 ft","9 ft","335 tons","400 tons","65 tons","Steel hull, aluminum superstructure.","4","","Diesel Engines","4","26","","","","","","04/05/2022"
"AK 4544","SSG EDWARD A CARTER, JR","SSG EDWARD A CARTER, JR (AK 4544)","(ex - AMERICAN NEBRASKA, SUSAN, NEBRASKA, NEDLLOYD HUDSON, OOC INNOVATION)","CARGO SHIP","AK 4496","23424","Special, chartered by MSC, listed here as part of the U.S. Navy Ship Forces.","","06/14/2001","","","","Strategic Sealift Force","","","","","","","","01/01/1985","","","","950 ft","915 ft","106 ft","","35 ft","","","74500 tons","","Steel hull, steel superstructure.","","","","","","","","","","","02/16/2011"
"LST 1096","ST CLAIR COUNTY","ST CLAIR COUNTY (LST 1096)","","TANK LANDING SHIP","LST 542","58096","Disposed of, by Navy Sale","","12/01/1975","","","","","","","","","","","","","","","04/01/1975","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/22/2011"
"LPA 231","ST CROIX","ST CROIX (LPA 231)","(ex - MCV 677)","AMPHIBIOUS TRANSPORT","LPA 117","","Disposed of by MARAD exchange","","11/15/1979","","","","","","","","","","","","","","","04/23/1947","","","","","","","","","","","","","","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","02/22/2011"
