"Hull","Name","Name (Hull)","Ship Alt Title","Ship Type","Class","UIC","Status","Fleet","Date Status Last Changed","Homeport","Maintenance Category","Berth","Force","Builder","Award Date","Commission Date","Keel Date","Inactivation Date","Launch Date","Decommission Date","Delivery Date","InService Date","Out Service Date","Stricken Date","Overall Length","Waterline Length","Extreme Beam","Waterline Beam","Max Navigational Draft","Draft Limit","Light Displacement","Full Displacement","Dead Weight","Hull Material","No. of Propellers","No. of Waterjets","Propulsion Type","Accommodations Officers","Accommodations Enlisted","Custodian","Planning Yard","Nuclear Planning Yard","Ships Program Manager","Comments","Last Updated"
"YFU 102","NO NAME","NO NAME (YFU 102)","(ex - LCU 1642)","HARBOR UTILITY CRAFT (S-P)","","52915","Disposed of by Dismantling (Scrapping/Recycling)","","02/20/2005","","","","","","","","","","","","","","","06/18/1991","","","","","","","","","","","","","","","","","","","","","12/12/2017"
"YG 22","NO NAME","NO NAME (YG 22)","","GARBAGE LIGHTER (S-P)","YG 22","15522","Disposed of, by Navy Sale","","02/01/1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/08/1999"
"YG 23","NO NAME","NO NAME (YG 23)","","GARBAGE LIGHTER (S-P)","YG 22","15523","Disposed of, by Navy Sale","","02/01/1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/08/1999"
"YG 24","NO NAME","NO NAME (YG 24)","","GARBAGE LIGHTER (S-P)","YG 22","15524","Disposed of, by Navy Sale","","12/01/1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YG 29","NO NAME","NO NAME (YG 29)","","GARBAGE LIGHTER (S-P)","YG 22","15529","Disposed of, by Navy Sale","","07/01/1972","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YG 30","NO NAME","NO NAME (YG 30)","","GARBAGE LIGHTER (S-P)","YG 22","15530","Stricken, to be disposed of, type of disposal not known","","05/01/1972","","X","","","","","","12/14/1942","","","","","","","05/01/1972","118 ft","","","","","","200 tons","","","Steel hull, steel superstructure.","1","","","","","US NAVY","","","","","12/05/2001"
"YG 33","NO NAME","NO NAME (YG 33)","","GARBAGE LIGHTER (S-P)","YG 22","15533","Disposed of, by Navy Sale","","06/01/1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YG 35","NO NAME","NO NAME (YG 35)","","GARBAGE LIGHTER (S-P)","YG 22","15535","Stricken, to be disposed of by Navy sale","","07/01/1972","","X","","","","","","03/17/1943","","","","","","","07/01/1972","118 ft","","","","","","200 tons","","","Steel hull, steel superstructure.","1","","","","","US NAVY","","","","","12/05/2001"
"YG 37","NO NAME","NO NAME (YG 37)","","GARBAGE LIGHTER (S-P)","YG 22","15537","Disposed of, by Navy Sale","","06/01/1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YG 45","NO NAME","NO NAME (YG 45)","","GARBAGE LIGHTER (S-P)","YG 22","15545","Disposed of, by Navy Sale","","06/01/1974","","","","","Bethlehem Steel Co., Shipbuilding Div.","","","","","","","10/12/1945","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","06/07/2002"
"YG 46","NO NAME","NO NAME (YG 46)","","GARBAGE LIGHTER (S-P)","YG 22","15546","Disposed of, by Navy Sale","","09/01/1974","","","","","Bethlehem Steel Co., Shipbuilding Div.","","","","","","","10/25/1945","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","06/07/2002"
"YG 48","NO NAME","NO NAME (YG 48)","","GARBAGE LIGHTER (S-P)","YG 22","15548","Stricken, to be disposed of by Navy sale","","07/01/1972","","X","","","Bethlehem Steel Co., Shipbuilding Div.","","","04/10/1945","","","","05/23/1946","","","07/01/1972","118 ft","","","","","","200 tons","","","Steel hull, steel superstructure.","1","","","","","US NAVY","","","","","06/07/2002"
"YG 49","NO NAME","NO NAME (YG 49)","","GARBAGE LIGHTER (S-P)","YG 22","15549","Disposed of in support of Fleet training exercise","","04/01/1975","","","","","Bethlehem Steel Co., Shipbuilding Div.","","","","","","","06/12/1946","","","","","","","","","","","","","","","","","","","US NAVY","","","","","06/07/2002"
"YG 50","NO NAME","NO NAME (YG 50)","","GARBAGE LIGHTER (S-P)","YG 22","15550","Disposed of, by Navy Sale","","09/01/1974","","","","","Bethlehem Steel Co., Shipbuilding Div.","","","","","","","06/21/1946","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","06/07/2002"
"YG 51","NO NAME","NO NAME (YG 51)","","GARBAGE LIGHTER (S-P)","YG 22","15551","Disposed of, by Navy Sale","","02/01/1976","","","","","Bethlehem Steel Co., Shipbuilding Div.","","","","","","","07/10/1946","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","06/07/2002"
"YG 53","NO NAME","NO NAME (YG 53)","","GARBAGE LIGHTER (S-P)","YG 22","15553","Disposed of, by Navy Sale","","03/01/1975","","","","","Bethlehem Steel Co., Shipbuilding Div.","","","","","","","08/07/1946","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","06/07/2002"
"YG 54","NO NAME","NO NAME (YG 54)","","GARBAGE LIGHTER (S-P)","YG 22","15554","Disposed of, by Navy Sale","","03/01/1975","","","","","Bethlehem Steel Co., Shipbuilding Div.","","","","","","","08/20/1946","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","06/07/2002"
"YG 55","NO NAME","NO NAME (YG 55)","","GARBAGE LIGHTER (S-P)","YG 22","15555","Disposed of, by Navy Sale","","11/01/1974","","","","","Bethlehem Steel Co., Shipbuilding Div.","","","","","","","08/30/1946","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","06/07/2002"
"YGN 40","NO NAME","NO NAME (YGN 40)","","GARBAGE LIGHTER (N-S-P)","YGN 69","20425","Reclassed to equipment","","11/01/1973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US NAVY","","","","","04/18/2011"
"YGN 70","NO NAME","NO NAME (YGN 70)","(ex - YD 1)","GARBAGE LIGHTER (N-S-P)","YGN 71","20426","Reclassed to equipment","","01/01/1984","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US NAVY","","","","","09/12/2000"
"YGN 73","NO NAME","NO NAME (YGN 73)","","GARBAGE LIGHTER (N-S-P)","YGN 73","","Reclassed to equipment","","08/01/1982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US NAVY","","","","","03/09/2000"
"YGN 77","NO NAME","NO NAME (YGN 77)","(ex - YD 12)","GARBAGE LIGHTER (N-S-P)","YGN 77","20427","Disposed of, by Navy Sale","","05/01/1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/29/2000"
"YGN 78","NO NAME","NO NAME (YGN 78)","(ex - YD 13)","GARBAGE LIGHTER (N-S-P)","YGN 78","20428","Disposed of, by Navy Sale","","12/01/1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YGN 80","NO NAME","NO NAME (YGN 80)","","GARBAGE LIGHTER (N-S-P)","YGN 80","22761","Disposed of, sold by Defense Reutilization and Marketing Service (DRMS) for reuse/conversion","","12/30/2003","","","","","Zidell Exploration Inc.","07/11/1969","","07/01/1970","","09/11/1970","","11/28/1970","","","03/14/2003","124 ft","124 ft","35 ft","35 ft","10 ft","4 ft","309 tons","855 tons","546 tons","Steel hull, steel superstructure.","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/18/2004"
"YGN 81","NO NAME","NO NAME (YGN 81)","","GARBAGE LIGHTER (N-S-P)","YGN 80","22762","Disposed of, sold by Defense Reutilization and Marketing Service (DRMS) for reuse/conversion","","12/30/2003","","","","","Zidell Exploration Inc.","07/11/1969","","08/03/1970","","09/18/1970","","11/28/1970","","","03/14/2003","124 ft","124 ft","35 ft","35 ft","10 ft","4 ft","309 tons","855 tons","546 tons","Steel hull, steel superstructure.","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/18/2004"
"YGN 82","NO NAME","NO NAME (YGN 82)","","GARBAGE LIGHTER (N-S-P)","","","Reclassed to equipment","","01/01/1984","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/02/2004"
"YGN 83","NO NAME","NO NAME (YGN 83)","","GARBAGE LIGHTER (N-S-P)","YGN 80","22763","Disposed of, sold by Defense Reutilization and Marketing Service (DRMS) for reuse/conversion","","12/30/2003","","","","","Zidell Exploration Inc.","07/11/1969","","10/15/1970","","12/16/1970","","01/05/1971","","","03/14/2003","124 ft","124 ft","35 ft","35 ft","10 ft","4 ft","309 tons","855 tons","546 tons","Steel hull, steel superstructure.","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/18/2004"
"YLC 1","NO NAME","NO NAME (YLC 1)","(U-34 1524, YFN 1192, YFNX 33)","SALVAGE LIFT CRAFT (N-S-P)","YLC 1","22764","Reclassed, hull reclassed to - IX","","01/07/2010","","","","","Burton Construction & Shipbuilding Co., Inc.","","","","","","","06/01/1952","","","","110 ft","","","","","","110 tons","","","Steel hull, steel superstructure.","","","","","","","","","","YLC 1 WAS RECLASSED TO IX 547 ON 07 JAN 2010.","01/13/2010"
"YLC 2","NO NAME","NO NAME (YLC 2)","(ex - YC 1525)","SALVAGE LIFT CRAFT (N-S-P)","YLC 2","22411","Disposed of, sold by Defense Reutilization and Marketing Service (DRMS) for reuse/conversion","","02/26/2008","","","","","Marine Industries Northwest, Inc.","10/01/1980","","","","","","07/01/1981","","","05/21/2007","110 ft","100 ft","32 ft","32 ft","2 ft","5 ft","125 tons","","","Steel hull, steel superstructure.","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/26/2008"
"YM 12","NO NAME","NO NAME (YM 12)","","DREDGE (S-P)","","","Disposed of, sold by Defense Reutilization and Marketing Service (DRMS) for reuse/conversion","","05/16/1972","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/09/2004"
"YM 17","NO NAME","NO NAME (YM 17)","(ex - ORION)","DREDGE (S-P)","YM 12","22765","Disposed of by transferring to the Local Redevelopment Authority (LRA)","","12/13/1995","","","","","Ellicott Machine Corp.","","","","","","","06/01/1934","","","12/13/1995","134 ft","","38 ft","","","","500 tons","","","Steel hull, steel superstructure.","","","","","34","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","YM 17 WAS DISPOSED OF AS AN ARTIFICAL REEF OFF THE COAST OF SOUTH CAROLINA ON 04 AUG 98 BY THE SOUTH CAROLINA DEPARTMENT OF NATURAL RESOURCES.","05/12/2010"
"YM 22","NO NAME","NO NAME (YM 22)","","DREDGE (S-P)","","","Disposed of, by Navy Sale","","04/01/1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/15/1999"
"YM 32","NO NAME","NO NAME (YM 32)","","DREDGE (S-P)","","40662","Stricken, to be disposed of by Navy sale","","01/17/1990","","X","","","","07/01/1969","","","","","","12/12/1969","","","01/17/1990","","","","","","","","","","","","","","","","US NAVY","","","","","09/04/2001"
"YM 33","NO NAME","NO NAME (YM 33)","","DREDGE (S-P)","YM 12","17736","Disposed of, sold by Defense Reutilization and Marketing Service (DRMS) for reuse/conversion","","08/03/1998","","","","","Dredge & Marine Ltd.","07/01/1969","","","","","","05/20/1970","","","06/27/1996","43 ft","43 ft","15 ft","15 ft","3 ft","","80 tons","","","Steel hull, steel superstructure.","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","06/06/2001"
"YM 35","NO NAME","NO NAME (YM 35)","","DREDGE (S-P)","YM 12","40673","Disposed of, sold by Defense Reutilization and Marketing Service (DRMS) by Exchange/Sale for reuse/conversion","","08/30/1995","","","","","St. Louis Shipbuilding & Steel Co.","01/26/1970","","","","","","08/25/1970","","","07/31/1995","70 ft","70 ft","28 ft","28 ft","4 ft","3 ft","1264 tons","164 tons","-1100 tons","Steel hull, steel superstructure.","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/12/2003"
"YM 36","NO NAME","NO NAME (YM 36)","","DREDGE (S-P)","","","Disposed of by return to owner","","03/01/1970","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/01/2000"
"YM 37","NO NAME","NO NAME (YM 37)","","DREDGE (S-P)","","","Disposed of, by Navy Sale","","07/01/1982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YM 38","NO NAME","SEABEE (YM 38)","","DREDGE (S-P)","","62808","Acquired for Navy","","12/01/1973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US NAVY","","","","","01/01/1990"
"YMLC 5","NO NAME","NO NAME (YMLC 5)","","SALVAGE LIFT CRAFT, MEDIUM (N-S-P)","","","Disposed of, by Navy Sale","","09/01/1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/15/1999"
"YMLC 6","NO NAME","NO NAME (YMLC 6)","","SALVAGE LIFT CRAFT, MEDIUM (N-S-P)","","","Disposed of, by Navy Sale","","09/01/1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/15/1999"
"YMN 1","NO NAME","NO NAME (YMN 1)","","DREDGE (N-S-P)","YMN 1","22766","Disposed of by transferring to the Local Redevelopment Authority (LRA)","","03/26/2002","","","","","Ellicott Machine Corp.","01/01/1989","","","","","","02/01/1992","","","03/13/2001","154 ft","","27 ft","","6 ft","","","","","Steel hull, steel superstructure.","2","","","","5","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","11/07/2002"
"YNG 5","NO NAME","NO NAME (YNG 5)","","GATE CRAFT (N-S-P)","YNG 1","","Disposed of, by Navy Sale","","12/01/1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YNG 11","NO NAME","NO NAME (YNG 11)","","GATE CRAFT (N-S-P)","YNG 1","22767","Disposed of, type of disposal not known","","06/01/1966","","","","","Dravo Corp.","11/04/1940","","03/31/1941","","07/15/1941","","07/25/1941","","","","110 ft","100 ft","34 ft","34 ft","4 ft","7 ft","110 tons","225 tons","115 tons","Steel hull, steel superstructure.","","","","3","15","","","","","","05/05/2006"
"YNG 13","NO NAME","NO NAME (YNG 13)","","GATE CRAFT (N-S-P)","YNG 1","","Disposed of, by Navy Sale","","09/01/1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YNG 15","NO NAME","NO NAME (YNG 15)","","GATE CRAFT (N-S-P)","YNG 1","","Disposed of, by Navy Sale","","02/01/1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/08/1999"
"YNG 16","NO NAME","NO NAME (YNG 16)","","GATE CRAFT (N-S-P)","YNG 1","","Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.","","03/01/1977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/08/1999"
"YNG 17","NO NAME","NO NAME (YNG 17)","","GATE CRAFT (N-S-P)","YNG 1","22768","Reclassed, hull reclassed to - IX","","04/19/2007","","","","","Moore Dry Dock Co., Inc.","11/04/1940","","12/02/1940","","03/18/1941","","06/17/1941","","","","110 ft","100 ft","34 ft","34 ft","4 ft","7 ft","110 tons","225 tons","115 tons","Steel hull, steel superstructure.","","","","3","15","","","","","YNG 17 WAS RECLASSIFIED TO IX 539 ON 19 APR 07.","04/30/2007"
"YNG 23","NO NAME","NO NAME (YNG 23)","","GATE CRAFT (N-S-P)","YNG 1","","Disposed of, by Navy Sale","","12/01/1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YNG 25","NO NAME","NO NAME (YNG 25)","","GATE CRAFT (N-S-P)","YNG 1","","Disposed of, by Navy Sale","","06/01/1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YNG 26","NO NAME","NO NAME (YNG 26)","","GATE CRAFT (N-S-P)","YNG 1","","Disposed of, by Navy Sale","","06/01/1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YNG 27","NO NAME","NO NAME (YNG 27)","","GATE CRAFT (N-S-P)","YNG 1","","Disposed of, by Navy Sale","","11/01/1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YNG 28","NO NAME","NO NAME (YNG 28)","","GATE CRAFT (N-S-P)","YNG 1","","Disposed of, by Navy Sale","","06/01/1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/08/1999"
"YO 43","NO NAME","NO NAME (YO 43)","","FUEL OIL BARGE (S-P)","YO 43","10543","Disposed of, by Navy Sale","","03/01/1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/08/1999"
"YO 45","NO NAME","NO NAME (YO 45)","","FUEL OIL BARGE (S-P)","YO 43","10545","Disposed of, by Navy Sale","","08/01/1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/31/2001"
"YO 48","NO NAME","NO NAME (YO 48)","","FUEL OIL BARGE (S-P)","YO 46","10548","Disposed of in support of Fleet training exercise","","07/01/1977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US NAVY","","","","","02/08/1999"
